default,Identifier,Remarks
"\c[MenuActive] Found a secret!",SECRETMESSAGE,
"Yeah!",TXT_YES,
"No!",TXT_NO,
"Shadow scoffs. 'Those demons were no\nchallenge.'\n\nSonic looks at him, displeased.\n'Easy for you to say... Wait a minute...\nwhere are we?'\n\nAmy looks around.\n'Some kind of base... And more monsters?'\n\nSonic sighs.\n'Figures... I guess we're not done here\njust yet.'",E1TEXT,
"Sonic looks beat up. 'That huge thing was tough!'\n\nAmy turns to him. 'Tell me about it!\nI need a break already!'\n\nShadow looks over the edge of the floating rock.\n'I'd advise you don't. Look down there.'\n\nSonic jumps back. 'What the-- What IS that?!'\n\nAmy looks scared. 'I don't know, but I don't\nlike it one bit...'\n\nShadow scoffs. 'Well, if we just stand here,\nit won't get any better.'",E2TEXT,
"Amy looks relieved. Phew... I'm so glad\nit's over.\n\nSonic looks over at her. 'You said it...\nLet's head home.'\n\nShadow holds out an arm in front of them.\n'Wait.'\n\nSonic looks at him, annoyed. 'What now?'\n\nShadow turns around. 'I sense more of them.\nAnd they're even stronger than last time.'\n\nSonic stands up. 'No rest for the living, huh?'\n\nAmy looks at him, confused.",E3TEXT,
"Amy looks uneasy. 'Come on! What are the chances\nthere's ANOTHER one of those weird spider robots?\n\nSonic stares at her, his eye twitching.\n\nShadow ignores them. 'We need to take care of this\nat the source. I'll lead the way.'",E4TEXT,
"Sonic looks perplexed. 'Something seems off...'\n\nShadow looks over to him. 'These demonic\ncreatures seem to be affecting reality itself.'\n\nAmy finds an outpost. 'Look! Up ahead!\nI think there's a way to the source of the\ninvasion past that point!'",C1TEXT,
"Amy looks happy. 'We made it! So... we're all\ndone, right?'\n\nSonic isn't convinced. 'Yeah... no. We evacuated\neveryone, but there's still all this to deal with.'\n\nShadow runs off.\n\nSonic looks surprised. 'Hey! Shadow! Wait up!'\nHe picks up Amy and chases after Shadow.",C2TEXT,
"Amy looks around. 'Where did you take us?'\n\nShadow, not turning around, explains.\n'This is where those creatures are coming from.'\n\nSonic is confused. 'How did you even...?\n\nShadow looks back at them. 'If we go through\nthis portal, we'll be taken to their world.'\n\nAmy seems worried.\n'What if one of us gets hurt?'\n\nShadow scoffs. 'Just git gud.'",C3TEXT,
"Sonic yawns. 'Well, that was boring.'\n\nShadow looks down. 'This was the best\nthat Hell could throw at me...?'\n\nAmy walks back to the portal back home.\n'In any case, I'm getting tired, and\nI'd like to be home now.'\n\nSonic jumps in the air before\nfollowing her. 'Mobius, here we come!'\n\nAmy looks confused. 'I thought it was Earth...'",C4TEXT,
"Sonic finds a secret place.\n'Hey, what's this? Looks like an\nabandoned... prison? Looks super old.'\n\nAmy grabs his arm.\n'Sonic! We don't have time for this!'\n\nSonic shakes her hand off. 'Heh, we've\ngot time to spare!'",C5TEXT,
"Sonic is running around the place like\na maniac, destroying any creature he sees.\n\nAmy looks concerned. 'He's not gonna stop,\nis he?'\n\nShadow looks indifferent. 'He'll tire out\neventually.'",C6TEXT,
"After defeating the E-SP567 robot,\nSonic comes to a standstill.\n\n'Awesome, I beat that stupid thing!...\nNow, how the heck do I get out of here...?'\n\nHe proceeds to keep staring at the blank\nstone wall, waiting for the player to\nstart a new game...",BOSSEND,
"Epilepsy Warning",epilepsy_wtitle,
"This mod contains fast-moving graphics and\nflashing lights which may trigger seizures\nin people with photosensitive epilepsy.",epilepsy_warning,
"\c[LiBlue] I see your problem... too slow!",QUITMSG1,
"\c[LiBlue] What's wrong? Too fast for you?",QUITMSG2,
"\c[LiBlue] Heeey!! What about your memories?!",QUITMSG3,
"\c[LiBlue] Talk about low budget mods, no food or movies... I'm outta here!",QUITMSG4,
"\c[LiBlue] How long is this gonna go on?",QUITMSG5,
"\c[LiBlue] You're trying to say you like Sonic Robo Blast 2 better, huh?",QUITMSG6,
"\c[LiBlue] You're coming back, though, right? Right??",QUITMSG7,
"\c[LiBlue] Oh, I get it, you're going to go get some DLC!",QUITMSG8,
"New Save Data",NEWSAVE,
"\c[MenuInactive] You're not currently playing.\n\nPress a key to go back.",SAVEDEAD,
"Data saved successfully.",GGSAVED,
"Picked up an item.",TXT_DEFAULTPICKUPMSG,
"Delete the save data ",MNU_DELETESG,
"STAGE COMPLETE",WI_FINISHED,
"NEXT STAGE",WI_ENTERING,
"\c[LiBlue] Thanks for playing Sonic: Lock & Load!\nAre you sure you want to quit?",DOSY,
"\c[Sonic]Welcome to Sonic: Lock & Load!",STARTUP1,
"\c[Green]Enemies deal half the damage they normally would.\n\nRecommended if you're new\nto action games.",skill_text1,
"\c[Yellow]Enemies attack and move slower,\nso it's easier to avoid attacks.\n\nRecommended for people new\nto Sonic: Lock & Load.",skill_text2,
"\c[LiBlue]Standard gameplay across the board.\nGetting careless won't end well.\n\nThe recommended Sonic: Lock & Load experience.",skill_text3,
"\c[Red]You take twice the usual damage.\nGood evasion skills are paramount.\n\nRecommended for those who\nbarely get hit on the other difficulties.",skill_text4,
"\c[Red]You die in one hit.\nSo do the enemies.\n\nThis isn't even remotely fair!",skill_text5,
"\c[LiBlue]Sonic",sonic,
"\c[Amy]Amy",amy,
"\c[Classic]C.Sonic",classic,
"\c[Red]Shadow",shadow,
"\c[Green]Effortless",skill1,
"\c[Green]Piece of cake!",skill1_sonic,
"\c[Green]A breeze",skill1_amy,
"\c[Green]Genesis",skill1_classic,
"\c[Green]Waste of time",skill1_shadow,
"\c[Yellow]Simplified",skill2,
"\c[Yellow]Bring it on!",skill2_sonic,
"\c[Yellow]Just perfect!",skill2_amy,
"\c[Yellow]Like 1991",skill2_classic,
"\c[Yellow]Chaos Controller",skill2_shadow,
"\c[MenuInactive]Standard",skill3,
"\c[MenuInactive]I can still fly!",skill3_sonic,
"\c[MenuInactive]Never give up!",skill3_amy,
"\c[MenuInactive]I am SEGA!",skill3_classic,
"\c[MenuInactive]Another mission",skill3_shadow,
"\c[Red]Insane",skill4,
"\c[Sonic]Chaotic Velocity",skill4_sonic,
"\c[Amy]Shattered Rose",skill4_amy,
"\c[Classic]Strange, Isn't It?",skill4_classic,
"\c[Red]Ultimate Life Form",skill4_shadow,
"Hidden Doox found!!",found_doox,
"\c[Sonic] Sonic: \c[White] Well. That was lame.",gsubtitle1,
"\c[Red] Knuckles: \c[White] Oh no.",gsubtitle2,
"\c[Sonic] Sonic: \c[White] Ugh, thanks a lot, wall!",gsubtitle3,
"\c[Sonic] Sonic: \c[White] Ugh, this wall's in the way!",gsubtitle4,
"\c[Gold] Super Sonic: \c[White] Now I'll show you!!",gsubtitle5,
"\c[Purple] Dark Amy: \c[White] I'll destroy all of you!!",gsubtitle6,
"\c[Gold] Super Shadow: \c[White] Witness the might of my power!!",gsubtitle7,
"\c[Gold] Super Sonic: \c[White] Let's blast through with sonic speed!!",gsubtitle8,
